,average hold time,mean return,sharpe,spread,total return,trade count
0,303.5,0.00023729158682753515,0.2293276498403781,"('CL1', 'CL2')",0.14332411844383122,2.0
1,303.5,-0.00030109648296704645,-0.27632449867043246,"('CL1', 'CL3')",-0.18186227571209607,2.0
2,151.75,-0.0004911143060620246,-0.3792470325941347,"('CL1', 'CL4')",-0.29663304086146286,4.0
3,151.75,-0.0005856578112122466,-0.4121401924936735,"('CL1', 'CL5')",-0.353737317972197,4.0
4,55.18181818181818,-0.0004183389731510657,-0.3066465014851529,"('CO1', 'CL1')",-0.2526767397832437,11.0
5,101.16666666666667,-0.0004862509325545436,-0.3434756987148254,"('CO2', 'CL1')",-0.2936955632629443,6.0
6,75.875,-0.0006926756762835047,-0.4567050663887216,"('CO3', 'CL1')",-0.4183761084752368,8.0
7,60.7,-0.0007849032080656984,-0.49008193486866336,"('CO4', 'CL1')",-0.4740815376716819,10.0
8,101.16666666666667,-0.0007923386162402241,-0.4741959264572575,"('CO5', 'CL1')",-0.47857252420909535,6.0
9,101.16666666666667,-0.0005339450435831816,-0.29276706564680544,"('HO1', 'CL1')",-0.3225028063242417,6.0
10,101.16666666666667,-0.0006398672575017158,-0.36424807945119514,"('HO2', 'CL1')",-0.3864798235310364,6.0
11,101.16666666666667,-0.0007497022900602613,-0.42511876641354646,"('HO3', 'CL1')",-0.45282018319639783,6.0
12,151.75,-0.0006716721350860754,-0.37603643582791707,"('HO4', 'CL1')",-0.4056899695919895,4.0
13,121.4,-0.0006590787747695617,-0.3643353623348279,"('HO5', 'CL1')",-0.3980835799608152,5.0
14,60.7,-6.407590297167859e-05,-0.02875005090787913,"('XB1', 'CL1')",-0.038701845394893866,10.0
15,50.583333333333336,0.0006578244351388857,0.3319156416841343,"('XB2', 'CL1')",0.397325958823887,12.0
16,43.357142857142854,0.0004416647869424626,0.23058012157642332,"('XB3', 'CL1')",0.26676553131324743,14.0
17,43.357142857142854,0.0006127300697241656,0.3219845380214468,"('XB4', 'CL1')",0.37008896211339604,14.0
18,55.18181818181818,-0.0001747484324188608,-0.0916093263122031,"('XB5', 'CL1')",-0.10554805318099192,11.0
19,101.16666666666667,-0.0003422667368134009,-0.1631493647927286,"('QS1', 'CL1')",-0.20672910903529415,6.0
20,151.75,-0.0005744999451577052,-0.27590885117906083,"('QS2', 'CL1')",-0.3469979668752539,4.0
21,151.75,-0.0005682220114170527,-0.2737871746286499,"('QS3', 'CL1')",-0.3432060948958998,4.0
22,151.75,-0.0007487376552624328,-0.3607853153864225,"('QS4', 'CL1')",-0.45223754377850944,4.0
23,151.75,-0.0006195283388070376,-0.2965082561535976,"('QS5', 'CL1')",-0.3741951166394507,4.0
24,607.0,-3.808357116603104e-06,-0.0033634322526844905,"('CL2', 'CL3')",-0.002307864412661481,1.0
25,202.33333333333334,-5.7528131022356866e-05,-0.04024572997391263,"('CL2', 'CL4')",-0.03486204739954826,3.0
26,202.33333333333334,-7.18789753462209e-05,-0.04483951086771769,"('CL2', 'CL5')",-0.04355865905980986,3.0
27,37.9375,0.0019131263383739862,1.0582007238542632,"('CO1', 'CL2')",1.1593545610546356,16.0
28,60.7,-2.573431863989212e-05,-0.013895603473885286,"('CO2', 'CL2')",-0.015594997095774624,10.0
29,86.71428571428571,3.2562811729127136e-05,0.016968377985648934,"('CO3', 'CL2')",0.019733063907851046,7.0
30,86.71428571428571,-0.00016428788080145556,-0.08288570962576644,"('CO4', 'CL2')",-0.09955845576568206,7.0
31,86.71428571428571,-0.00019489705035885473,-0.09553671757333136,"('CO5', 'CL2')",-0.11810761251746597,7.0
32,75.875,0.0005448328060667111,0.24853221817407584,"('HO1', 'CL2')",0.3301686804764269,8.0
33,86.71428571428571,1.3186564470823852e-06,0.0006137719331000881,"('HO2', 'CL2')",0.0007991058069319254,7.0
34,86.71428571428571,-8.481289364718881e-06,-0.0039022815698548587,"('HO3', 'CL2')",-0.005139661355019642,7.0
35,121.4,8.275552058348515e-06,0.003751217392196529,"('HO4', 'CL2')",0.0050149845473592,5.0
36,121.4,3.993112823974619e-05,0.017881316700302866,"('HO5', 'CL2')",0.02419826371328619,5.0
37,50.583333333333336,0.0006244669955590512,0.26156764433400304,"('XB1', 'CL2')",0.378426999308785,12.0
38,75.875,0.0005405533115983306,0.24698830347511683,"('XB2', 'CL2')",0.3275753068285884,8.0
39,43.357142857142854,0.0008118192391151672,0.3773194801193619,"('XB3', 'CL2')",0.4919624589037913,14.0
40,50.583333333333336,0.0006927486143315928,0.3198514239836227,"('XB4', 'CL2')",0.41980566028494526,12.0
41,40.46666666666667,0.0009555782184644268,0.43846903785260055,"('XB5', 'CL2')",0.5790804003894426,15.0
42,151.75,9.700232609811077e-05,0.038844901520168104,"('QS1', 'CL2')",0.058783409615455126,4.0
43,101.16666666666667,0.0002748346017093983,0.11036747153005909,"('QS2', 'CL2')",0.16654976863589538,6.0
44,151.75,2.5744045429113084e-05,0.01031302965416409,"('QS3', 'CL2')",0.01560089153004253,4.0
45,151.75,-2.679136648112013e-05,-0.01067109372324697,"('QS4', 'CL2')",-0.0162355680875588,4.0
46,151.75,0.00021203500916340215,0.08374824744693582,"('QS5', 'CL2')",0.1284932155530217,4.0
47,607.0,-7.03480612822844e-06,-0.021575192769313425,"('CL3', 'CL4')",-0.004263092513706435,1.0
48,202.33333333333334,-6.590867684671646e-05,-0.1261384735369896,"('CL3', 'CL5')",-0.039940658169110174,3.0
49,50.583333333333336,0.00033450570954042953,0.33053407277225194,"('CO1', 'CL3')",0.20271045998150028,12.0
