,average hold time,mean return,sharpe,spread,total return,trade count
0,602.0,3.851340922022378e-05,0.3667064904781231,"('CL2', 'CL1')",0.023146558941354492,1.0
1,0.0,7.269893589411153e-05,0.3970355880190098,"('CL3', 'CL1')",0.04369206047236103,0.0
2,0.0,9.426800411099506e-05,0.4308672727171636,"('CL4', 'CL1')",0.05665507047070803,0.0
3,0.0,0.00011130656086404329,0.44343609624851543,"('CL5', 'CL1')",0.06689524307929001,0.0
4,150.5,-0.0001380893415931066,-0.32245573674549277,"('CO1', 'CL1')",-0.08299169429745706,4.0
5,150.5,-0.00015774663945239612,-0.41282366768541195,"('CO2', 'CL1')",-0.09480573031089007,4.0
6,301.0,-0.00014158633020637827,-0.3742189353005765,"('CO3', 'CL1')",-0.08509338445403333,2.0
7,301.0,-8.919939811383988e-05,-0.23448512927858367,"('CO4', 'CL1')",-0.05360883826641777,2.0
8,0.0,-4.8734362638120675e-05,-0.1264721870063157,"('CO5', 'CL1')",-0.029289351945510526,0.0
9,301.0,-0.00020197574066871873,-0.37406923577137013,"('HO1', 'CL1')",-0.12138742014189996,2.0
10,301.0,-0.0001609817702316617,-0.3098953503621974,"('HO2', 'CL1')",-0.09675004390922867,2.0
11,301.0,-0.00014244271236624764,-0.2839794477819813,"('HO3', 'CL1')",-0.08560807013211483,2.0
12,301.0,-8.022873371944817e-05,-0.16389118478983442,"('HO4', 'CL1')",-0.04821746896538835,2.0
13,301.0,-0.00011148611255660563,-0.22994824906508682,"('HO5', 'CL1')",-0.06700315364651999,2.0
14,150.5,0.00011086071107165751,0.1036465525719601,"('XB1', 'CL1')",0.06662728735406616,4.0
15,200.66666666666666,0.0005416036735430515,0.6317504267578286,"('XB2', 'CL1')",0.32550380779937393,3.0
16,602.0,0.00031579995804291065,0.4180741440676147,"('XB3', 'CL1')",0.18979577478378928,1.0
17,301.0,0.0003538439048794339,0.46835194995877044,"('XB4', 'CL1')",0.2126601868325398,2.0
18,200.66666666666666,0.00034263136450518345,0.4491422603564261,"('XB5', 'CL1')",0.20592145006761525,3.0
19,150.5,-0.00021841958477022833,-0.24869062533455685,"('QS1', 'CL1')",-0.13127017044690723,4.0
20,301.0,-0.00015137160578053885,-0.18214618397113191,"('QS2', 'CL1')",-0.09097433507410385,2.0
21,301.0,-0.0001894515852106038,-0.2304217999837747,"('QS3', 'CL1')",-0.11386040271157288,2.0
22,301.0,-8.752110987224832e-05,-0.10781700370649508,"('QS4', 'CL1')",-0.05260018703322124,2.0
23,0.0,-4.776139205334493e-05,-0.05947777151148523,"('QS5', 'CL1')",-0.028704596624060302,0.0
24,602.0,1.950860089471957e-05,0.2354457479312405,"('CL3', 'CL2')",0.01172466913772646,1.0
25,0.0,4.8057491097878486e-05,0.37018363410681915,"('CL4', 'CL2')",0.02888255214982497,0.0
26,0.0,6.509604785092667e-05,0.3881392735785387,"('CL5', 'CL2')",0.03912272475840693,0.0
27,602.0,-4.3868545773133644e-05,-0.11395175349698307,"('CO1', 'CL2')",-0.02636499600965332,1.0
28,200.66666666666666,-0.00011375502263162224,-0.3449643710555322,"('CO2', 'CL2')",-0.06836676860160497,3.0
29,86.0,-0.00013648860115875115,-0.422444072458666,"('CO3', 'CL2')",-0.08202964929640945,7.0
30,301.0,-0.00015444062054016352,-0.47805739183804336,"('CO4', 'CL2')",-0.09281881294463827,2.0
31,301.0,-0.00014801299076366845,-0.45331604413082727,"('CO5', 'CL2')",-0.08895580744896474,2.0
32,150.5,-0.0003365465059399914,-0.6826442050791215,"('HO1', 'CL2')",-0.20226445006993485,4.0
33,150.5,-0.00036362392679716255,-0.7717380375046724,"('HO2', 'CL2')",-0.2185379800050947,4.0
34,301.0,-0.00021810173823049405,-0.48257699190221065,"('HO3', 'CL2')",-0.13107914467652693,2.0
35,301.0,-0.00018482270525596334,-0.4212031699023922,"('HO4', 'CL2')",-0.11107844585883397,2.0
36,301.0,-0.00013139264635687742,-0.3029327486174906,"('HO5', 'CL2')",-0.07896698046048334,2.0
37,120.4,-4.626496522440571e-05,-0.044476162816028834,"('XB1', 'CL2')",-0.02780524409986783,5.0
38,200.66666666666666,0.0001004096910480417,0.12137059668153391,"('XB2', 'CL2')",0.06034622431987306,3.0
39,602.0,0.00019435961102040752,0.27159451524476275,"('XB3', 'CL2')",0.11681012622326492,1.0
40,301.0,0.00025600773525487753,0.35399280215862666,"('XB4', 'CL2')",0.1538606488881814,2.0
41,200.66666666666666,0.0006057200810664871,0.8316020126780826,"('XB5', 'CL2')",0.3640377687209587,3.0
42,150.5,-0.0002924072675344781,-0.343078872632667,"('QS1', 'CL2')",-0.17573676778822134,4.0
43,100.33333333333333,-0.0002598915456085781,-0.3223406121905705,"('QS2', 'CL2')",-0.15619481891075546,6.0
44,150.5,-0.00021354499907167034,-0.26806874811836434,"('QS3', 'CL2')",-0.12834054444207388,4.0
45,150.5,-0.00026703732106357907,-0.34000004040346304,"('QS4', 'CL2')",-0.160489429959211,4.0
46,301.0,-0.00010980955723855032,-0.14145929648111527,"('QS5', 'CL2')",-0.06599554390036874,2.0
47,602.0,1.1450280071692174e-05,0.3348224818892099,"('CL4', 'CL3')",0.006881618323086996,1.0
48,0.0,3.860762496993175e-05,0.4014420658041019,"('CL5', 'CL3')",0.023203182606928982,0.0
49,602.0,1.3481910362289464e-05,0.037174062276939604,"('CO1', 'CL3')",0.008102628127735968,1.0
50,602.0,-2.5791617982461317e-05,-0.08636416582695985,"('CO2', 'CL3')",-0.015500762407459252,1.0
51,200.66666666666666,-6.930046580979119e-05,-0.2404753453196194,"('CO3', 'CL3')",-0.0416495799516845,3.0
52,200.66666666666666,-0.0001355932925405725,-0.4762473574348071,"('CO4', 'CL3')",-0.08149156881688407,3.0
53,602.0,-0.0001163154125261726,-0.4074539988790213,"('CO5', 'CL3')",-0.06990556292822973,1.0
54,120.4,-0.00033414622839237506,-0.7298424270052929,"('HO1', 'CL3')",-0.20082188326381742,5.0
55,150.5,-0.0002590517877330182,-0.5953541560975029,"('HO2', 'CL3')",-0.15569012442754393,4.0
56,150.5,-0.00029195780987088994,-0.7055223663107019,"('HO3', 'CL3')",-0.17546664373240484,4.0
57,150.5,-0.0003165266785285564,-0.7926307301231865,"('HO4', 'CL3')",-0.1902325337956624,4.0
58,150.5,-0.00029958535906078246,-0.7611308855577111,"('HO5', 'CL3')",-0.18005080079553026,4.0
59,200.66666666666666,3.6893960929895314e-06,0.0036269480094623693,"('XB1', 'CL3')",0.0022173270518867083,3.0
60,200.66666666666666,0.00010807615260445163,0.1343032851356436,"('XB2', 'CL3')",0.06495376771527543,3.0
61,602.0,0.00013943313499270823,0.20402948663666395,"('XB3', 'CL3')",0.08379931413061764,1.0
