,average hold time,mean return,sharpe,spread,total return,trade count
0,0.0,-6.643706710439717e-05,-0.310016115244967,"('CL2', 'CL1')",-0.039928677329742694,0.0
1,0.0,-0.00011347653467718951,-0.36726180934332475,"('CL3', 'CL1')",-0.0681993973409909,0.0
2,0.0,-0.00015578361854321583,-0.41011793631246446,"('CL4', 'CL1')",-0.09362595474447272,0.0
3,0.0,-0.0001882086654532554,-0.4336071790391329,"('CL5', 'CL1')",-0.11311340793740648,0.0
4,86.0,-0.00025447386968571024,-0.3789322042417949,"('CO1', 'CL1')",-0.15293879568111185,7.0
5,54.72727272727273,-0.0002715303296446969,-0.42848101600495414,"('CO2', 'CL1')",-0.16318972811646285,11.0
6,66.88888888888889,-0.00020032898793476177,-0.3143180887181583,"('CO3', 'CL1')",-0.12039772174879182,9.0
7,46.30769230769231,-4.222569060898551e-05,-0.06567546580780814,"('CO4', 'CL1')",-0.02537764005600029,13.0
8,46.30769230769231,3.869846291259714e-05,0.05922081387663514,"('CO5', 'CL1')",0.02325777621047088,13.0
9,43.0,-0.0006175543746200928,-0.6647872873575016,"('HO1', 'CL1')",-0.3711501791466758,14.0
10,100.33333333333333,-0.0006065291187100299,-0.8020871721456433,"('HO2', 'CL1')",-0.364524000344728,6.0
11,0.0,-0.0002994339960920505,-0.4117642555166111,"('HO3', 'CL1')",-0.17995983165132237,0.0
12,0.0,-0.0002886120432207306,-0.4020136621374766,"('HO4', 'CL1')",-0.17345583797565908,0.0
13,0.0,-0.00028371878625436725,-0.39369614286369387,"('HO5', 'CL1')",-0.17051499053887473,0.0
14,150.5,-0.00017704967319531758,-0.13853796324478704,"('XB1', 'CL1')",-0.10640685359038587,4.0
15,301.0,-0.00042255323189001857,-0.3510377809911683,"('XB2', 'CL1')",-0.2539544923659012,2.0
16,301.0,-0.00042030599742666735,-0.38509812349624056,"('XB3', 'CL1')",-0.25260390445342706,2.0
17,0.0,-0.0004263702024521691,-0.3842803595414008,"('XB4', 'CL1')",-0.25624849167375363,0.0
18,0.0,-0.000432169294112296,-0.403202656837528,"('XB5', 'CL1')",-0.2597337457614899,0.0
19,23.153846153846153,-0.00010259387038671021,-0.08198180370221189,"('QS1', 'CL1')",-0.061658916102412836,26.0
20,37.625,-0.00038807389785679207,-0.33181346261178346,"('QS2', 'CL1')",-0.23323241261193203,16.0
21,50.166666666666664,-0.0002011495356948424,-0.17386106315379246,"('QS3', 'CL1')",-0.12089087095260029,12.0
22,50.166666666666664,-0.00042067375149814305,-0.36559718933690666,"('QS4', 'CL1')",-0.252824924650384,12.0
23,75.25,-0.0004261689811183462,-0.3719399632082295,"('QS5', 'CL1')",-0.2561275576521261,8.0
24,0.0,-4.7039467572792314e-05,-0.39150326858255907,"('CL3', 'CL2')",-0.028270720011248182,0.0
25,0.0,-8.934655143881866e-05,-0.4376309315252244,"('CL4', 'CL2')",-0.053697277414730016,0.0
26,0.0,-0.00012177159834885817,-0.45260200071575507,"('CL5', 'CL2')",-0.07318473060766376,0.0
27,120.4,-6.648016490441106e-05,-0.11617899533322362,"('CO1', 'CL2')",-0.03995457910755105,5.0
28,200.66666666666666,-0.00018206426829456718,-0.34698990402897667,"('CO2', 'CL2')",-0.10942062524503487,3.0
29,120.4,-0.00021268106688784253,-0.40705401084985793,"('CO3', 'CL2')",-0.12782132119959336,5.0
