,a,alpha,mu,sigma,spread,t_c
0,-0.01658663787514406,0.05427352304877778,0.02691558395398433,0.018340230165871975,"('CL2', 'CL1')",0.00094
1,-0.01646546161538656,0.044124538026566115,0.04892881060290959,0.016353311633696486,"('CL3', 'CL1')",0.00094
2,-0.016418122580517395,0.0431924293907498,0.06656162339755291,0.016108724820674585,"('CL4', 'CL1')",0.00094
3,-0.016382503102690266,0.04421695689184498,0.08133116324198394,0.016245000655241863,"('CL5', 'CL1')",0.00094
4,-0.01123063373453633,0.0902101983536639,0.08148335772051189,0.024045995855303603,"('CO1', 'CL1')",0.000289
5,-0.011219836690448473,0.09178621008689739,0.09447332004991366,0.02421434532815511,"('CO2', 'CL1')",0.000289
6,-0.011154167415106078,0.10257285620857433,0.10890070308415385,0.025388548982911086,"('CO3', 'CL1')",0.000289
7,-0.011098843148252872,0.11236668771614808,0.12310587274568406,0.02634389827893858,"('CO4', 'CL1')",0.000289
8,-0.011037421873621212,0.12010391002128076,0.13674433198078106,0.027034816531522808,"('CO5', 'CL1')",0.000289
9,-0.019138148875101003,0.6127905865860054,1.1974764215125344,0.04564089930362249,"('HO1', 'CL1')",0.002482
10,-0.018450515012052367,0.5799632118855869,1.2065990027238997,0.041945704635902824,"('HO2', 'CL1')",0.002482
11,-0.01825980246146142,0.5795216730296137,1.2180010438234687,0.04125711402402283,"('HO3', 'CL1')",0.002482
12,-0.018166612577182197,0.5839030878985073,1.2296992491110348,0.041084188227860925,"('HO4', 'CL1')",0.002482
13,-0.0181054333189685,0.5883756293966403,1.2412536511179932,0.041025165114412815,"('HO5', 'CL1')",0.002482
14,-0.018500684886560443,0.36570357438195955,1.237340405201177,0.033449291819569106,"('XB1', 'CL1')",0.002482
15,-0.01900601977709997,0.35674457718134567,1.2435960569655735,0.03445093570298538,"('XB2', 'CL1')",0.002482
16,-0.0191041604398307,0.29203683311696005,1.246831299747505,0.031420811355547223,"('XB3', 'CL1')",0.002482
