,a,alpha,mu,sigma,spread,t_c
43,-0.01682200043770919,0.6556744657266127,2.278049670309996,0.03861564717775412,"('QS2', 'CL2')",0.002482
44,-0.01682459371820814,0.6636988610163538,2.275583060639267,0.038860581228344446,"('QS3', 'CL2')",0.002482
45,-0.016845048920530268,0.6701138047436637,2.2721548033903582,0.039122120059130155,"('QS4', 'CL2')",0.002482
46,-0.016862483235459892,0.6734114045153374,2.269058901621146,0.0392816853065972,"('QS5', 'CL2')",0.002482
47,-0.01705393986556223,0.016003863837772525,0.003240221302608083,0.010389335414804217,"('CL3', 'CL4')",0.00094
48,-0.016937357181484997,0.014862414734366433,0.006719725715450444,0.009907982161581027,"('CL3', 'CL5')",0.00094
49,-0.009722640653105637,0.049243653002624524,0.09267155847048247,0.01428842610007241,"('CO1', 'CL3')",0.000289
50,-0.009629532659505268,0.047106318837720665,0.09005350324876227,0.013773958845976078,"('CO2', 'CL3')",0.000289
51,-0.00976590194313456,0.05077655222436836,0.08683882947762267,0.014610235536944172,"('CO3', 'CL3')",0.000289
52,-0.009933355199726749,0.053441429338310475,0.08403596028595187,0.015381090862461137,"('CO4', 'CL3')",0.000289
53,-0.010105229364673476,0.0543108454572827,0.08141966634668056,0.015903384984584292,"('CO5', 'CL3')",0.000289
54,-0.01706757223436929,0.5337180538102756,1.185685281511761,0.03563729239870115,"('HO1', 'CL3')",0.002482
55,-0.017078433745519508,0.5415376289486556,1.1853683332184652,0.0359330772456982,"('HO2', 'CL3')",0.002482
56,-0.01709968476540016,0.5522674927592927,1.1843310644645524,0.03635782882381365,"('HO3', 'CL3')",0.002482
57,-0.017124482082753897,0.5647515233644255,1.1828430224599986,0.03684973104908751,"('HO4', 'CL3')",0.002482
58,-0.017148066442454403,0.5811493102153579,1.1812294706903956,0.03746126748944149,"('HO5', 'CL3')",0.002482
59,-0.017939032348349728,0.510603511042873,1.1439780736737775,0.03767203623900213,"('XB1', 'CL3')",0.002482
60,-0.01750844785981568,0.6173062999576691,1.1358892784624215,0.039882401609536405,"('XB2', 'CL3')",0.002482
61,-0.017437436276488767,0.6298641669098374,1.1284394232732549,0.040031479217138975,"('XB3', 'CL3')",0.002482
62,-0.017245432177882162,0.5298761303492993,1.12519966924636,0.03608804907658551,"('XB4', 'CL3')",0.002482
63,-0.01744312044767984,0.4492218640028642,1.1237666689103902,0.03382434617343577,"('XB5', 'CL3')",0.002482
64,-0.016770835208277955,0.6529723344927786,2.281829345986178,0.03835303204466038,"('QS1', 'CL3')",0.002482
65,-0.016770570739538502,0.6590638573743071,2.280234842890689,0.038530562715302634,"('QS2', 'CL3')",0.002482
66,-0.016776345380673983,0.6661776360311964,2.2777844290372777,0.038758792326643254,"('QS3', 'CL3')",0.002482
67,-0.01679911152729077,0.6719689474861431,2.274366882530983,0.03900946311560223,"('QS4', 'CL3')",0.002482
68,-0.016816763698975692,0.6752290213874097,2.2712717765301287,0.03916818873361802,"('QS5', 'CL3')",0.002482
69,-0.016841034545117275,0.014610378183422701,0.003414134306274781,0.00973875534636079,"('CL4', 'CL5')",0.00094
70,-0.00958002128424256,0.04140371982155399,0.09645225045568222,0.01281374833644183,"('CO1', 'CL4')",0.000289
71,-0.009430389899000522,0.03893499731709431,0.09410874450194456,0.012130319697125667,"('CO2', 'CL4')",0.000289
72,-0.00956342783639009,0.042301260778388416,0.09072426056234077,0.012915369675154735,"('CO3', 'CL4')",0.000289
73,-0.009736362726419038,0.045798321743005986,0.0876299476806514,0.013807282146374823,"('CO4', 'CL4')",0.000289
74,-0.009914501715079795,0.04851717766240033,0.08468672909407199,0.014606224380717545,"('CO5', 'CL4')",0.000289
75,-0.016950678079200553,0.5472710622750571,1.1877469360234216,0.03570175695153052,"('HO1', 'CL4')",0.002482
76,-0.01696016735206768,0.5556078255546207,1.1874280255561882,0.036004111153966775,"('HO2', 'CL4')",0.002482
77,-0.016979945766349237,0.566979940916064,1.1863893907463636,0.036436965206005936,"('HO3', 'CL4')",0.002482
78,-0.017003729768974667,0.5800534897955636,1.184901891097399,0.03693529811218708,"('HO4', 'CL4')",0.002482
79,-0.017027373838586934,0.5967664739699035,1.1832939867699805,0.037544997359222974,"('HO5', 'CL4')",0.002482
80,-0.0178356328328992,0.5249165252800928,1.1460242584424463,0.037853912204985,"('XB1', 'CL4')",0.002482
81,-0.01742398079610222,0.6231802314357383,1.138071230493912,0.03977059631438974,"('XB2', 'CL4')",0.002482
82,-0.01737822115423013,0.6271112292733032,1.1306963784504958,0.0397325160724895,"('XB3', 'CL4')",0.002482
83,-0.01718266403678214,0.5280713091420692,1.1274597149759071,0.03582210868788183,"('XB4', 'CL4')",0.002482
84,-0.017364383306050862,0.45251148207014197,1.1259557534767017,0.03370923416652015,"('XB5', 'CL4')",0.002482
85,-0.016732506981540742,0.6538579628028381,2.2840467353353935,0.03824206984667273,"('QS1', 'CL4')",0.002482
86,-0.016732950168086885,0.6597643912059808,2.2824554045565097,0.03841599622416299,"('QS2', 'CL4')",0.002482
87,-0.016740391172909833,0.666388709579526,2.280013079630804,0.03863520145061476,"('QS3', 'CL4')",0.002482
88,-0.01676422541357399,0.671899878864031,2.276599923571108,0.038880970593873194,"('QS4', 'CL4')",0.002482
89,-0.016782000402631107,0.6751342821940265,2.273505101662554,0.03903902601346576,"('QS5', 'CL4')",0.002482
90,-0.009433135877810642,0.03489102943673338,0.10083745547127247,0.011489281240586612,"('CO1', 'CL5')",0.000289
91,-0.009219819047304196,0.032540501539544554,0.09876371541392025,0.010719076502812537,"('CO2', 'CL5')",0.000289
92,-0.009335963422148662,0.03550069728813797,0.0952047211686942,0.01140956677037347,"('CO3', 'CL5')",0.000289
93,-0.00949996205218095,0.03925333158589051,0.09178160739216953,0.012319604459499561,"('CO4', 'CL5')",0.000289
94,-0.009680899053387811,0.04307970825400095,0.08844877131736913,0.013276303125770274,"('CO5', 'CL5')",0.000289
95,-0.016842833305365887,0.5554573880147323,1.1902539101047294,0.03561100583191136,"('HO1', 'CL5')",0.002482
96,-0.016850047726807673,0.5644848848074292,1.189929359651177,0.03592324381197991,"('HO2', 'CL5')",0.002482
97,-0.016866907639716735,0.5767730589528176,1.188884085184798,0.03636891353250834,"('HO3', 'CL5')",0.002482
98,-0.016888025464816943,0.5907644426542493,1.1873912307811272,0.03687939737871869,"('HO4', 'CL5')",0.002482
